ts,client,client_ip,query,type,response,rcode,latency_ms
2026-03-09T00:13:57.735Z,FIN-WS16,10.24.18.104,teams.microsoft.com,A,52.113.194.133,NOERROR,25
2026-03-09T00:15:44.247Z,SALES-WS22,10.42.7.97,docker.io,A,44.208.254.194,NOERROR,4
2026-03-09T00:16:06.832Z,MAC-DEV-17,10.88.44.17,api.box.com,A,74.112.186.144,NOERROR,16
2026-03-09T00:20:12.868Z,MAC-DESIGN-03,10.88.44.86,gitlab.halcyonmeridian.com,A,10.8.4.30,NOERROR,3
2026-03-09T00:27:43.466Z,FIN-WS27,10.24.18.61,accounts.google.com,A,142.250.72.13,NOERROR,15
2026-03-09T00:30:24.709Z,RSCH-JUP-03,10.55.72.9,pypi.org,A,151.101.0.223,NOERROR,5
2026-03-09T00:43:34.502Z,SALES-WS14,10.42.7.61,fs-internal-02.halcyonmeridian.com,A,10.24.2.18,NOERROR,8
2026-03-09T00:44:12.621Z,MAC-DEV-19,10.88.44.119,wiki.halcyonmeridian.com,A,10.8.12.30,NOERROR,11
2026-03-09T01:02:59.758Z,FIN-WS29,10.24.18.92,updates.tableau.com,A,13.33.21.42,NOERROR,7
2026-03-09T01:03:06.207Z,FIN-WS18,10.24.18.73,detectportal.firefox.com,A,34.107.221.82,NOERROR,6
2026-03-09T01:05:36.286Z,BLD-RUN-02,10.8.4.19,drive.google.com,A,142.250.72.46,NOERROR,17
2026-03-09T01:27:52.699Z,BLD-RUN-02,10.8.4.19,objects.githubusercontent.com,A,185.199.109.133,NOERROR,7
2026-03-09T01:28:03.027Z,SEC-JUMP-01,10.3.8.12,ssm.us-west-2.amazonaws.com,A,52.94.184.30,NOERROR,12
2026-03-09T01:33:21.890Z,MAC-OPS-02,10.88.44.53,api.zoom.us,A,170.114.10.12,NOERROR,60
2026-03-09T01:34:08.890Z,FIN-WS27,10.24.18.61,halcyonmeridian.box.com,A,74.112.186.44,NOERROR,4
2026-03-09T01:34:14.088Z,MAC-DEV-21,10.88.44.97,portal.office.com,A,13.107.6.171,NOERROR,4
2026-03-09T02:01:26.715Z,FIN-WS31,10.24.18.52,registry-1.docker.io,A,44.208.254.194,NOERROR,41
2026-03-09T02:02:36.270Z,SEC-JUMP-01,10.3.8.12,pypi.org,A,151.101.0.223,NOERROR,5
2026-03-09T02:04:19.800Z,OPS-WS12,10.8.12.68,fs-internal-02.halcyonmeridian.com,A,10.24.2.18,NOERROR,3
2026-03-09T02:10:41.508Z,MAC-DEV-09,10.88.44.42,gitlab.halcyonmeridian.com,A,10.8.4.30,NOERROR,23
2026-03-09T02:13:42.904Z,FIN-WS31,10.24.18.52,build-cache-east.corp.halcyonmeridian.com,A,-,SERVFAIL,25
2026-03-09T02:19:21.336Z,MAC-DEV-17,10.88.44.17,atlassian.net,A,104.192.142.18,NOERROR,8
2026-03-09T02:23:15.534Z,HR-WS17,10.31.9.76,cdn.slack.com,A,18.160.10.83,NOERROR,3
2026-03-09T02:38:34.271Z,MAC-DEV-19,10.88.44.119,atlassian.net,A,104.192.142.18,NOERROR,6
2026-03-09T02:40:32.879Z,SALES-WS14,10.42.7.61,accounts.google.com,A,142.250.72.45,NOERROR,2
2026-03-09T02:40:39.135Z,MAC-DEV-04,10.88.44.31,github.com,A,140.82.113.4,NOERROR,19
2026-03-09T02:45:46.577Z,SALES-WS22,10.42.7.97,raw.githubusercontent.com,A,185.199.108.133,NOERROR,8
2026-03-09T02:51:48.620Z,OPS-WS05,10.8.12.55,halcyonmeridian.box.com,A,74.112.186.55,NOERROR,5
2026-03-09T02:58:41.425Z,HR-WS11,10.31.9.58,portal.office.com,A,13.107.9.171,NOERROR,4
2026-03-09T03:20:31.367Z,MAC-DESIGN-03,10.88.44.86,pypi.org,A,151.101.64.223,NOERROR,9
2026-03-09T03:24:43.371Z,BLD-RUN-02,10.8.4.19,api.zoom.us,A,170.114.10.11,NOERROR,5
2026-03-09T03:34:54.983Z,MAC-DEV-12,10.88.44.64,upload.box.com,A,74.112.186.65,NOERROR,18
2026-03-09T03:39:37.657Z,MAC-DEV-09,10.88.44.42,zoom.us,A,170.114.52.3,NOERROR,4
2026-03-09T03:41:35.658Z,MAC-DEV-21,10.88.44.97,teams.microsoft.com,A,52.113.194.132,NOERROR,5
2026-03-09T03:57:39.661Z,MAC-DEV-21,10.88.44.97,sts.us-west-2.amazonaws.com,A,52.94.177.11,NOERROR,4
2026-03-09T04:03:29.706Z,MAC-DEV-19,10.88.44.119,docs.google.com,A,142.250.72.110,NOERROR,18
2026-03-09T04:03:59.477Z,FIN-WS33,10.24.18.84,splunk.halcyonmeridian.com,A,10.3.8.20,NOERROR,4
2026-03-09T04:05:44.775Z,SALES-WS08,10.42.7.72,halcyonmeridian.box.com,A,74.112.186.55,NOERROR,17
2026-03-09T04:07:38.020Z,MAC-DEV-19,10.88.44.119,sts.us-west-2.amazonaws.com,A,52.94.176.11,NOERROR,25
2026-03-09T04:22:08.444Z,MAC-DEV-21,10.88.44.97,wiki.halcyonmeridian.com,A,10.8.12.30,NOERROR,5
2026-03-09T04:27:46.942Z,FIN-WS27,10.24.18.61,login.microsoftonline.com,A,20.190.128.26,NOERROR,34
2026-03-09T04:31:20.510Z,MAC-DEV-14,10.88.44.108,gist.githubusercontent.com,A,185.199.108.133,NOERROR,51
2026-03-09T04:39:00.024Z,MAC-DEV-14,10.88.44.108,api.zoom.us,A,170.114.10.12,NOERROR,26
2026-03-09T04:46:42.323Z,FIN-WS27,10.24.18.61,api.github.com,A,140.82.112.5,NOERROR,13
2026-03-09T04:47:19.446Z,FIN-WS16,10.24.18.104,zoom.us,A,170.114.52.2,NOERROR,7
