UtcTime,Computer,User,Platform,EventID,Image,CommandLine,ParentImage,DestinationIp,DestinationPort,Hashes
2026-03-09 00:13:06.722,MAC-DEV-12,k.morris,macos,1,/usr/bin/curl,curl -I https://registry.npmjs.org/,/bin/zsh,,,SHA256=3d500fd2cf3b224504f06406c8c3931791f2846fe2aa8ab43f4773887029941f
2026-03-09 00:17:17.094,MAC-DEV-09,t.owens,macos,1,/bin/bash,bash /opt/ops/healthcheck.sh,/bin/launchd,,,SHA256=0eee9c21e7c0c91b492d0d37eae98a356eccd892865c7fe969d426722f418051
2026-03-09 00:31:49.085,MAC-DEV-21,y.li,macos,1,/bin/zsh,zsh -c env,/System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow,,,SHA256=fa97ab687a1e940c34e8f212d5eeada169e3f33c1cc4d9eb7731b1964571c0e5
2026-03-09 00:46:13.180,FIN-WS24,x.wright,windows,1,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe -NoProfile -Command Get-Date,C:\Windows\System32\userinit.exe,,,SHA256=47f473dca0bb19556cb68a8bc35e9851042a7d5463dfa2db66504032123a6eac
2026-03-09 00:50:19.510,RSCH-JUP-03,j.mercer,linux,1,/usr/local/bin/kubectl,kubectl version --client,/usr/bin/bash,,,SHA256=08d701abe45ab0fc4343c8c0304cd5ff951f0049ea3b19379daeceaa4145ddd4
2026-03-09 00:51:13.856,FIN-WS18,d.holt,windows,1,C:\Windows\System32\svchost.exe,svchost.exe -k netsvcs -p,C:\Windows\System32\services.exe,,,SHA256=67b51efbb6a06896419de7bb308859adb23fdad0879a27c403c87072e16e6ebf
2026-03-09 01:07:45.708,MAC-DEV-04,n.byrd,macos,1,/usr/bin/git,git status --short,/bin/zsh,,,SHA256=32266d15f899a9a8667b8547376c0fd27c8c74ec855b625b562f8a2f0a5ba45b
2026-03-09 01:09:08.189,FIN-WS33,v.ellis,windows,1,C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE,OUTLOOK.EXE /recycle,C:\Windows\explorer.exe,,,SHA256=1bc1ea7a517c63b40cd085408996ecbe170c86ea9fbddc487f9f4e4f9df24d4c
2026-03-09 01:13:31.071,MAC-DEV-21,y.li,macos,1,/usr/local/bin/node,node ./tools/check-schema.js,/usr/local/bin/npm,,,SHA256=f7cec9bbf90945a6385d7cd76ac64b577b5c1b6599a8a2f97d2c52f7b70c6ccb
2026-03-09 01:16:48.825,OPS-WS12,z.adams,windows,1,C:\Windows\System32\cmd.exe,cmd.exe /c whoami /groups,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,SHA256=c99d9b8907426d1d6083b09b48456b7beb29fb708bbe58bf561ceda71550677a
2026-03-09 01:24:57.497,FIN-WS22,m.sato,windows,1,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe -NoProfile -File C:\Corp\Scripts\MapDrives.ps1,C:\Windows\System32\userinit.exe,,,SHA256=47f473dca0bb19556cb68a8bc35e9851042a7d5463dfa2db66504032123a6eac
2026-03-09 01:36:14.043,FIN-WS22,m.sato,windows,3,C:\Program Files\WindowsApps\MSTeams_25020.2209.3470.2112_x64__8wekyb3d8bbwe\ms-teams.exe,,C:\Windows\explorer.exe,52.113.194.133,443,SHA256=04b01804e9e5e31b51747d9171b64b1b33a478f44096bf0643b3900640b1529a
2026-03-09 01:39:33.790,MAC-DEV-21,y.li,macos,1,/bin/bash,bash /opt/ops/healthcheck.sh,/bin/launchd,,,SHA256=0eee9c21e7c0c91b492d0d37eae98a356eccd892865c7fe969d426722f418051
2026-03-09 01:46:43.333,MAC-DEV-06,i.patel,macos,1,/usr/local/bin/npm,npm run build,/bin/zsh,,,SHA256=f30df177166290f33534e7914b3c9768bd102ddb649f5cb48668e9c6a30cd93c
2026-03-09 01:49:32.699,FIN-WS18,d.holt,windows,1,C:\Windows\System32\svchost.exe,svchost.exe -k LocalServiceNetworkRestricted -p,C:\Windows\System32\services.exe,,,SHA256=67b51efbb6a06896419de7bb308859adb23fdad0879a27c403c87072e16e6ebf
